age,experience,fg_per_game,fga_per_game,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
24.0,4,5.3,11.3,2.3,6.3,3.0,5.0,3.0,3.3,0.5,3.5,4.0,3.3,0.5,0.0,2.8,2.0,15.8
23.0,4,4.5,9.3,1.3,3.0,3.3,6.3,2.3,3.3,3.0,3.3,6.3,2.3,1.0,0.8,1.0,3.3,12.5
25.0,6,3.0,4.8,0.0,0.5,3.0,4.3,2.0,3.3,2.8,2.3,5.0,1.3,0.8,0.5,0.8,3.0,8.0
22.0,3,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0
24.0,4,2.8,7.8,2.0,5.5,0.8,2.3,0.8,1.3,0.3,2.3,2.5,1.3,1.3,0.0,1.3,1.8,8.3
24.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,4,5.5,11.3,1.5,3.5,4.0,7.8,1.3,1.8,2.3,7.0,9.3,1.0,0.0,0.3,2.3,3.0,13.8
26.0,8,5.3,7.8,0.0,0.0,5.3,7.8,2.3,3.8,2.3,5.5,7.8,0.3,0.0,2.0,1.3,2.5,12.8
21.0,3,2.0,5.3,0.7,2.7,1.3,2.7,0.0,0.0,0.7,2.0,2.7,1.3,0.3,0.3,0.3,0.7,4.7
36.0,16,3.0,4.0,0.0,0.0,3.0,4.0,0.3,1.0,0.7,1.0,1.7,0.3,0.3,0.7,1.0,0.3,6.3
20.0,2,4.7,12.3,1.3,6.0,3.3,6.3,0.7,2.0,2.3,5.0,7.3,2.0,1.3,0.0,1.3,4.3,11.3
21.0,2,2.5,4.5,0.5,1.3,2.0,3.3,2.3,2.5,1.3,2.5,3.8,0.3,1.0,0.5,1.3,2.3,7.8
